33786,2021-10-03T17:24:54+0000;0444,T6c0a,Hf9cc;0445,T6c54,Hf9fe;0544,T6d19,He1e2;0545,T6d8f,Hef63;0644,T6dd1,Hec85;0645,T6d69,Hefe5;0744,T6d87,Hed6d;0745,T6cd6,Hf5e8
33787,2021-10-03T17:25:02+0000;0444,T6bff,Hf9c7;0445,T6c48,Hfa01;0544,T6d07,He194;0545,T6d7f,Hef47;0644,T6dc1,Hec89;0645,T6d5a,Heffb;0744,T6d79,Hed70;0745,T6cc6,Hf5df
33788,2021-10-03T17:25:11+0000;0444,T6bef,Hf9c5;0445,T6c3b,Hfa06;0544,T6cfa,He171;0545,T6d6e,Hef5e;0644,T6db1,Heca4;0645,T6d4c,Hf002;0744,T6d70,Hed79;0745,T6cb9,Hf5aa
33789,2021-10-03T17:25:20+0000;0444,T6be4,Hf9bd;0445,T6c2e,Hfa05;0544,T6ce8,He13f;0545,T6d59,Hef6e;0644,T6da3,Hece8;0645,T6d40,Hf00c;0744,T6d62,Hed7a;0745,T6caf,Hf59e
33790,2021-10-03T17:25:29+0000;0444,T6bd5,Hf9ba;0445,T6c20,Hfa0d;0544,T6cdb,He14f;0545,T6d49,Hef85;0644,T6d90,Hecb2;0645,T6d31,Hf00a;0744,T6d55,Hed77;0745,T6ca2,Hf5bc
33791,2021-10-03T17:25:38+0000;0444,T6bc8,Hf9b5;0445,T6c10,Hfa0c;0544,T6cca,He13b;0545,T6d3a,Hef67;0644,T6d7f,Hed00;0645,T6d23,Hf019;0744,T6d4c,Hed81;0745,T6c97,Hf5db
33792,2021-10-03T17:25:46+0000;0444,T6bbc,Hf9b3;0445,T6c04,Hfa01;0544,T6cba,He118;0545,T6d29,Hefa1;0644,T6d70,Hed51;0645,T6d14,Hf029;0744,T6d3f,Hed7c;0745,T6c89,Hf5c8
33793,2021-10-03T17:25:55+0000;0444,T6bac,Hf9a9;0445,T6bf8,Hfa06;0544,T6cac,He139;0545,T6d1b,Hefda;0644,T6d61,Hed71;0645,T6d04,Hf024;0744,T6d34,Hed80;0745,T6c81,Hf5d5
33794,2021-10-03T17:26:04+0000;0444,T6ba1,Hf9a9;0445,T6be9,Hfa0f;0544,T6c9f,He132;0545,T6d09,Hefdb;0644,T6d50,Hed41;0645,T6cf7,Hf026;0744,T6d25,Hed81;0745,T6c70,Hf5c6
33795,2021-10-03T17:26:13+0000;0444,T6b95,Hf9a3;0445,T6bdd,Hfa15;0544,T6c8e,He150;0545,T6cf8,Hf005;0644,T6d41,Hed10;0645,T6ce9,Hf03c;0744,T6d1c,Hed8a;0745,T6c63,Hf586
33796,2021-10-03T17:26:21+0000;0444,T6b87,Hf9aa;0445,T6bd0,Hfa12;0544,T6c85,He18f;0545,T6ce5,Hf009;0644,T6d32,Hed61;0645,T6cde,Hf043;0744,T6d10,Hed8f;0745,T6c5c,Hf5bb
33797,2021-10-03T17:26:30+0000;0444,T6b7a,Hf9a3;0445,T6bc2,Hfa19;0544,T6c70,He169;0545,T6cd8,Hf009;0644,T6d24,Hed92;0645,T6ccf,Hf050;0744,T6d05,Hed8b;0745,T6c4b,Hf5bd
33798,2021-10-03T17:26:39+0000;0444,T6b6c,Hf9a0;0445,T6bb6,Hfa1c;0544,T6c65,He156;0545,T6ccc,Hf016;0644,T6d11,Hed74;0645,T6cc2,Hf04f;0744,T6cfa,Hed8d;0745,T6c3f,Hf59d
33799,2021-10-03T17:26:48+0000;0444,T6b63,Hf99b;0445,T6ba9,Hfa1b;0544,T6c54,He16b;0545,T6cbd,Hf02c;0644,T6d02,Hedc5;0645,T6cb8,Hf064;0744,T6cee,Hed8f;0745,T6c36,Hf5b1
33800,2021-10-03T17:26:56+0000;0444,T6b58,Hf9a1;0445,T6b9a,Hfa1b;0544,T6c45,He134;0545,T6cac,Hf050;0644,T6cf6,Hede0;0645,T6ca7,Hf075;0744,T6ce3,Hed92;0745,T6c29,Hf5a3
33801,2021-10-03T17:27:05+0000;0444,T6b4d,Hf99d;0445,T6b8e,Hfa23;0544,T6c3c,He1a6;0545,T6c9e,Hf07a;0644,T6ce5,Hedc5;0645,T6c9b,Hf081;0744,T6cd7,Hed9b;0745,T6c1d,Hf582
33802,2021-10-03T17:27:14+0000;0444,T6b3f,Hf996;0445,T6b83,Hfa29;0544,T6c2c,He164;0545,T6c8f,Hf06b;0644,T6cd9,Hedfc;0645,T6c8e,Hf085;0744,T6cce,Hed9d;0745,T6c15,Hf5a5
33803,2021-10-03T17:27:23+0000;0444,T6b33,Hf995;0445,T6b75,Hfa28;0544,T6c1f,He162;0545,T6c81,Hf084;0644,T6cc6,Heda1;0645,T6c81,Hf084;0744,T6cc0,Hed9e;0745,T6c08,Hf5ae
33804,2021-10-03T17:27:31+0000;0444,T6b28,Hf989;0445,T6b6b,Hfa2c;0544,T6c15,He1b4;0545,T6c71,Hf0b8;0644,T6cb9,Hedc3;0645,T6c73,Hf07d;0744,T6cb5,Heda2;0745,T6bfd,Hf5a3
33805,2021-10-03T17:27:40+0000;0444,T6b1e,Hf995;0445,T6b5d,Hfa2e;0544,T6c0a,He1d4;0545,T6c64,Hf0d5;0644,T6ca9,Hedf2;0645,T6c66,Hf08e;0744,T6cab,Heda5;0745,T6bf5,Hf589
33806,2021-10-03T17:27:49+0000;0444,T6b11,Hf99d;0445,T6b53,Hfa36;0544,T6bfc,He200;0545,T6c56,Hf0ef;0644,T6c9a,Hedf9;0645,T6c5b,Hf0a2;0744,T6ca1,Hedac;0745,T6be7,Hf5a8
33807,2021-10-03T17:27:58+0000;0444,T6b06,Hf992;0445,T6b47,Hfa34;0544,T6bf1,He21d;0545,T6c48,Hf122;0644,T6c8e,Hee22;0645,T6c4e,Hf0b5;0744,T6c96,Hedb1;0745,T6bdc,Hf598
33808,2021-10-03T17:28:06+0000;0444,T6afb,Hf98f;0445,T6b3a,Hfa36;0544,T6be1,He1e5;0545,T6c39,Hf112;0644,T6c80,Hee61;0645,T6c40,Hf0bf;0744,T6c8c,Hedb5;0745,T6bd4,Hf586
33809,2021-10-03T17:28:15+0000;0444,T6aef,Hf98c;0445,T6b30,Hfa40;0544,T6bd5,He1ae;0545,T6c2c,Hf121;0644,T6c6e,Hee56;0645,T6c36,Hf0c2;0744,T6c81,Hedb9;0745,T6bc4,Hf58c
33810,2021-10-03T17:28:24+0000;0444,T6ae4,Hf986;0445,T6b23,Hfa43;0544,T6bc9,He1d6;0545,T6c1c,Hf12e;0644,T6c64,Hee55;0645,T6c26,Hf0d1;0744,T6c74,Hedc2;0745,T6bb9,Hf56f
33811,2021-10-03T17:28:33+0000;0444,T6ad9,Hf98e;0445,T6b19,Hfa43;0544,T6bbd,He1dd;0545,T6c10,Hf14c;0644,T6c54,Hee53;0645,T6c1b,Hf0da;0744,T6c6b,Hedc2;0745,T6bb0,Hf54f
