2913,2021-10-12T09:41:05+0000;0444,T7a52,H4363;0445,T7854,H4505;0544,T77ef,H4011;0545,T767d,H4973;0644,T780c,H47f5;0645,T7830,H470e;0744,T77b1,H3e57;0745,T785c,H4862
2914,2021-10-12T09:41:20+0000;0444,T7a5e,H433d;0445,T7865,H44c3;0544,T7805,H3fce;0545,T7692,H4928;0644,T781e,H47c0;0645,T783f,H46d5;0744,T77c8,H3e11;0745,T7869,H4829
2915,2021-10-12T09:41:36+0000;0444,T7a6f,H4308;0445,T7876,H4484;0544,T781a,H3f8f;0545,T76ab,H48d6;0644,T782c,H4785;0645,T784b,H46a5;0744,T77d6,H3dd8;0745,T7876,H47fb
2916,2021-10-12T09:41:52+0000;0444,T7a73,H42df;0445,T7880,H445d;0544,T7825,H3f5f;0545,T76ba,H4898;0644,T783c,H4753;0645,T7859,H4674;0744,T77e6,H3d9e;0745,T7883,H47d4
2917,2021-10-12T09:42:08+0000;0444,T7a7c,H42ca;0445,T788e,H443a;0544,T7833,H3f36;0545,T76c4,H487e;0644,T7848,H4730;0645,T7865,H464c;0744,T77f6,H3d74;0745,T788a,H47b1
2918,2021-10-12T09:42:23+0000;0444,T7a81,H42ad;0445,T7898,H441b;0544,T7840,H3f16;0545,T76d6,H4853;0644,T7856,H4707;0645,T7870,H4628;0744,T7801,H3d47;0745,T7894,H4790
2919,2021-10-12T09:42:39+0000;0444,T7a88,H4293;0445,T78a4,H43f7;0544,T784a,H3eed;0545,T76e4,H481e;0644,T7860,H46d7;0645,T787a,H460a;0744,T780d,H3d22;0745,T78a1,H4772
2920,2021-10-12T09:42:55+0000;0444,T7a8b,H427e;0445,T78a8,H43e0;0544,T7854,H3ed4;0545,T76ed,H4803;0644,T786e,H46bf;0645,T7888,H45d8;0744,T7817,H3cf7;0745,T78ae,H473e
2921,2021-10-12T09:43:11+0000;0444,T7a92,H4270;0445,T78b2,H43cc;0544,T785a,H3eb6;0545,T76fe,H47e3;0644,T787a,H469e;0645,T7892,H45c7;0744,T7824,H3cd8;0745,T78b6,H472b
2922,2021-10-12T09:43:27+0000;0444,T7a97,H426c;0445,T78b8,H43b8;0544,T7864,H3e9f;0545,T770a,H47b1;0644,T7883,H4688;0645,T7898,H45b6;0744,T782d,H3cca;0745,T78ba,H4726
